frame_idx_after_warmup,stamp_sec,stamp_nanosec,iou,precision,recall,f1,gt_bins,pred_bins,omega_bins,empty_union0,proc_time_ms,gt_cover_ratio,points_in_frame,total_bins
78,1769319581,799263061,0.09215955983481133,0.09970238095223259,0.549180327864351,0.1687657428125361,122,672,6715,0,0.9745290008140728,0.549180327864351,109271,16384
79,1769319588,861662957,0.09825033647362282,0.1084695393757675,0.5104895104859407,0.17892156833794395,143,673,6722,0,0.935364998440491,0.5104895104859407,109302,16384
80,1769319596,100247870,0.09549071618024471,0.1069836552747296,0.47058823529104193,0.17433414013357354,153,673,6721,0,0.3634329987107776,0.47058823529104193,109327,16384
81,1769319603,318207296,0.09567496723447487,0.1084695393757675,0.44785276073344876,0.17464114801102026,163,673,6721,0,0.3618020018620882,0.44785276073344876,109335,16384
82,1769319610,563353700,0.08949416342400844,0.10267857142841863,0.410714285711841,0.16428571396532315,168,672,6720,0,0.3672419989015907,0.410714285711841,109441,16384
83,1769319617,894732879,0.07721518987331998,0.09063893016331258,0.3426966292115579,0.1433607517252365,178,673,6722,0,0.363338000170188,0.3426966292115579,109259,16384
84,1769319625,123035107,0.0696517412934457,0.08320950965812302,0.2994652406401098,0.13023255779891021,187,673,6722,0,0.3818969998974353,0.2994652406401098,-1,16384
85,1769319646,888579816,0.06916426512958333,0.07142857142846513,0.6857142857044898,0.12938005373712774,70,672,6717,0,0.3724269990925677,0.6857142857044898,109488,16384
86,1769319659,306897510,0.06580829756786008,0.0684523809522791,0.6301369862927378,0.12348993270880411,73,672,6714,0,0.3659309986687731,0.6301369862927378,109527,16384
87,1769319665,635142038,0.055319148936091744,0.057949479940478534,0.5492957746401508,0.10483870950449113,71,673,6721,0,0.36298800114309415,0.5492957746401508,109547,16384
88,1769319671,707822250,0.060734463276750375,0.06389301634463017,0.5512820512749835,0.11451398117173549,78,673,6723,0,0.3663789975689724,0.5512820512749835,109585,16384
89,1769319677,951927120,0.060734463276750375,0.06389301634463017,0.5512820512749835,0.11451398117173549,78,673,6725,0,0.3632119987742044,0.5512820512749835,109648,16384
90,1769319690,430799934,0.06188466947951915,0.06537890044566809,0.5365853658471148,0.11655629119679313,82,673,6724,0,0.7900370001152623,0.5365853658471148,109613,16384
91,1769319715,523072307,0.07344632768351209,0.07738095238083723,0.590909090902376,0.13684210505803324,88,672,6720,0,0.3717559993674513,0.590909090902376,109474,16384
92,1769319741,987959761,0.07223796033984102,0.07578008915293347,0.6071428571356292,0.1347424040295542,84,673,6722,0,0.5413799990492407,0.6071428571356292,109343,16384
93,1769319749,147502715,0.07887323943650863,0.08333333333320933,0.5957446808447261,0.14621409900101576,94,672,6719,0,0.36350099981063977,0.5957446808447261,109388,16384
94,1769319756,494393618,0.08111888111876767,0.08618127786019884,0.5799999999941999,0.15006468282739083,100,673,6723,0,0.360557998646982,0.5799999999941999,109300,16384
95,1769319770,844796589,0.0764951321278491,0.08172362555708511,0.5445544554401529,0.14211886282180225,101,673,6723,0,0.8346469985553995,0.5445544554401529,109225,16384
96,1769319777,997249247,0.0739726027396247,0.0802377414560472,0.4864864864821037,0.1377551017973924,111,673,6723,0,0.3723980007634964,0.4864864864821037,109185,16384
97,1769319806,679680076,0.08970976253286318,0.10119047619032562,0.44155844155557433,0.16464891010786253,154,672,6717,0,0.5436549981823191,0.44155844155557433,109107,16384
98,1769319813,858586136,0.08541392904062364,0.09658246656746422,0.42483660130441286,0.15738498759124167,153,673,6721,0,0.5137679981999099,0.42483660130441286,109132,16384
99,1769319828,93463876,0.09987029831374855,0.11458333333316283,0.4374999999975142,0.18160377325553467,176,672,6718,0,0.5781810032203794,0.4374999999975142,109044,16384
100,1769319878,396419095,0.08561643835606665,0.11144130757784333,0.26978417266090005,0.1577287062105327,278,673,6723,0,0.4654519980249461,0.26978417266090005,108786,16384
101,1769319885,426663487,0.08593749999990409,0.11441307577991915,0.2566666666658111,0.15827338086811749,300,673,6725,0,0.367568001820473,0.2566666666658111,108844,16384
102,1769319892,276822803,0.09596510359858673,0.13056379821939085,0.26586102718952914,0.17512437766734484,331,674,6733,0,0.38219199996092357,0.26586102718952914,108718,16384
103,1769319899,273874073,0.09391675560288804,0.13056379821939085,0.25071225071153647,0.17170731662248662,351,674,6737,0,0.37620800139848143,0.25071225071153647,108637,16384
104,1769319906,202142206,0.09905163329810426,0.13946587537071295,0.2547425474247839,0.18024928046283262,369,674,6733,0,0.3740329993888736,0.2547425474247839,108374,16384
105,1769319913,231301240,0.10624999999988932,0.15133531157247576,0.26288659793746677,0.19209039501612632,388,674,6731,0,0.513418999616988,0.26288659793746677,108193,16384
106,1769319919,960215618,0.0970970970969999,0.14391691394637401,0.22985781990466858,0.1770072987961832,422,674,6736,0,0.5337379989214242,0.22985781990466858,107878,16384
107,1769319926,801377874,0.08524904214551221,0.1320474777446112,0.1938997821346538,0.1571050304091661,459,674,6736,0,0.36788900251849554,0.1938997821346538,107878,16384
108,1769319933,624456665,0.07954545454537922,0.12462908011850946,0.1802575107292269,0.14736842056901814,466,674,6736,0,0.3614900015236344,0.1802575107292269,107561,16384
109,1769319940,339646773,0.08356290174464319,0.1350148367950519,0.17984189723284616,0.15423728764546682,506,674,6735,0,0.3700970009958837,0.17984189723284616,107395,16384
110,1769319946,926260040,0.0840707964601026,0.1409495548959333,0.17241379310313537,0.1551020403211142,551,674,6737,0,0.3609140003391076,0.17241379310313537,107073,16384
111,1769319953,645572645,0.018492176386886924,0.01928783382786456,0.30952380951643993,0.03631284905147312,42,674,6740,0,0.3602739998314064,0.30952380951643993,106712,16384
112,1769319965,799465264,0.017045454545430334,0.01777777777775144,0.2926829268221297,0.03351955296456493,41,675,6743,0,0.3624179989856202,0.2926829268221297,106137,16384
113,1769319971,996666006,0.019943019942991535,0.02077151335308491,0.33333333332539683,0.039106145140850784,42,674,6740,0,0.3661299997474998,0.33333333332539683,105892,16384
114,1769319978,40759813,0.021337126600254143,0.0222222222221893,0.34883720929421314,0.041782729692293664,43,675,6744,0,0.36622600237024017,0.34883720929421314,105544,16384
115,1769319984,136787902,0.017021276595720537,0.01777777777775144,0.28571428570748303,0.03347280323689478,42,675,6743,0,0.3671220001706388,0.28571428570748303,105523,16384
116,1769319990,304057,0.017021276595720537,0.01777777777775144,0.28571428570748303,0.03347280323689478,42,675,6742,0,0.362962997314753,0.28571428570748303,105353,16384
117,1769319995,966117640,0.01558073654388728,0.016296296296272154,0.2619047618985261,0.03068340295796253,42,675,6744,0,0.36789099976886064,0.2619047618985261,105347,16384
118,1769320001,827391757,0.014144271569994139,0.014814814814792868,0.23809523808956917,0.027894002679030284,42,675,6747,0,0.3703859983943403,0.23809523808956917,105452,16384
119,1769320007,898410995,0.011283497884328232,0.011851851851834294,0.19047619047165534,0.022315202121165795,42,675,6750,0,0.375121999240946,0.19047619047165534,105634,16384
120,1769320013,966703000,0.014124293785290785,0.014792899408262141,0.23809523808956917,0.027855153093116907,42,676,6754,0,0.3696180028782692,0.23809523808956917,105639,16384
